OID,Latitude (N),Longitude (E),Blended LRO/LOLA and SELENE/Kaguya DEM
427,25.995117187499996,116.8388671875,-182.0
428,25.9951171875,116.84082031249997,-185.0
429,25.995117187499996,116.8427734375,-181.0
430,25.9951171875,116.8447265625,-179.5
431,25.995117187499996,116.84667968750003,-181.0
432,25.995117187499996,116.84863281249994,-179.5
433,25.9951171875,116.85058593749997,-176.0
434,25.995117187499996,116.85253906250006,-170.0
435,25.995117187499996,116.85449218749997,-165.0
436,25.995117187499996,116.8564453125,-161.0
437,25.9951171875,116.85839843749997,-153.0
438,25.9951171875,116.86035156250003,-147.0
439,25.995117187499996,116.8623046875,-140.0
440,25.9951171875,116.8642578125,-134.5
441,25.995117187499996,116.86621093750003,-127.0
442,25.995117187499996,116.86816406249994,-122.0
